Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuite1,Firefox 54.0,,2017-07-19 15:13:43,2017-07-19 15:14:17,34.519s,PASSED
,,,,,,
Test Cases/Test1ByTRSN,Firefox 54.0,,2017-07-19 15:13:43,2017-07-19 15:14:02,18.884s,PASSED
openBrowser,Firefox 54.0,,2017-07-19 15:13:44,2017-07-19 15:13:53,9.314s,PASSED
navigateToUrl,Firefox 54.0,,2017-07-19 15:13:53,2017-07-19 15:14:01,7.955s,PASSED
switchToWindowTitle,Firefox 54.0,,2017-07-19 15:14:01,2017-07-19 15:14:02,0.571s,PASSED
click,Firefox 54.0,,2017-07-19 15:14:02,2017-07-19 15:14:02,0.297s,PASSED
closeBrowser,Firefox 54.0,,2017-07-19 15:14:02,2017-07-19 15:14:02,0.287s,PASSED
,,,,,,
Test Cases/MACTest2,Firefox 54.0,,2017-07-19 15:14:02,2017-07-19 15:14:17,15.153s,PASSED
openBrowser,Firefox 54.0,,2017-07-19 15:14:02,2017-07-19 15:14:17,14.861s,PASSED
closeBrowser,Firefox 54.0,,2017-07-19 15:14:17,2017-07-19 15:14:17,0.179s,PASSED
