Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuite1,Chrome 59.0.3071.115,,2017-07-20 12:51:44,2017-07-20 12:52:06,21.385s,PASSED
,,,,,,
Test Cases/Test1ByTRSN,Chrome 59.0.3071.115,,2017-07-20 12:51:45,2017-07-20 12:51:57,11.907s,PASSED
openBrowser,Chrome 59.0.3071.115,,2017-07-20 12:51:45,2017-07-20 12:51:48,2.659s,PASSED
navigateToUrl,Chrome 59.0.3071.115,,2017-07-20 12:51:48,2017-07-20 12:51:55,6.949s,PASSED
switchToWindowTitle,Chrome 59.0.3071.115,,2017-07-20 12:51:55,2017-07-20 12:51:55,0.126s,PASSED
click,Chrome 59.0.3071.115,,2017-07-20 12:51:55,2017-07-20 12:51:56,0.782s,PASSED
closeBrowser,Chrome 59.0.3071.115,,2017-07-20 12:51:56,2017-07-20 12:51:57,0.925s,PASSED
,,,,,,
Test Cases/MACTest2,Chrome 59.0.3071.115,,2017-07-20 12:51:57,2017-07-20 12:52:06,8.979s,PASSED
openBrowser,Chrome 59.0.3071.115,,2017-07-20 12:51:57,2017-07-20 12:52:02,5.283s,PASSED
closeBrowser,Chrome 59.0.3071.115,,2017-07-20 12:52:02,2017-07-20 12:52:03,0.737s,PASSED
openBrowser,Chrome 59.0.3071.115,,2017-07-20 12:52:03,2017-07-20 12:52:05,1.963s,PASSED
closeBrowser,Chrome 59.0.3071.115,,2017-07-20 12:52:05,2017-07-20 12:52:06,0.861s,PASSED
