Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuite1,Chrome 59.0.3071.115,,2017-07-19 18:34:24,2017-07-19 18:34:43,19.693s,PASSED
,,,,,,
Test Cases/Test1ByTRSN,Chrome 59.0.3071.115,,2017-07-19 18:34:24,2017-07-19 18:34:35,11.263s,PASSED
openBrowser,Chrome 59.0.3071.115,,2017-07-19 18:34:24,2017-07-19 18:34:27,2.875s,PASSED
navigateToUrl,Chrome 59.0.3071.115,,2017-07-19 18:34:27,2017-07-19 18:34:33,5.842s,PASSED
switchToWindowTitle,Chrome 59.0.3071.115,,2017-07-19 18:34:33,2017-07-19 18:34:33,0.157s,PASSED
click,Chrome 59.0.3071.115,,2017-07-19 18:34:33,2017-07-19 18:34:34,1.125s,PASSED
closeBrowser,Chrome 59.0.3071.115,,2017-07-19 18:34:34,2017-07-19 18:34:35,0.871s,PASSED
,,,,,,
Test Cases/MACTest2,Chrome 59.0.3071.115,,2017-07-19 18:34:35,2017-07-19 18:34:43,8.130s,PASSED
openBrowser,Chrome 59.0.3071.115,,2017-07-19 18:34:35,2017-07-19 18:34:43,7.287s,PASSED
closeBrowser,Chrome 59.0.3071.115,,2017-07-19 18:34:43,2017-07-19 18:34:43,0.727s,PASSED
