Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuite1,Firefox 54.0,,2017-07-19 15:10:23,2017-07-19 15:10:53,29.885s,PASSED
,,,,,,
Test Cases/Test1ByTRSN,Firefox 54.0,,2017-07-19 15:10:23,2017-07-19 15:10:39,15.339s,PASSED
openBrowser,Firefox 54.0,,2017-07-19 15:10:24,2017-07-19 15:10:31,7.576s,PASSED
navigateToUrl,Firefox 54.0,,2017-07-19 15:10:31,2017-07-19 15:10:37,6.106s,PASSED
switchToWindowTitle,Firefox 54.0,,2017-07-19 15:10:37,2017-07-19 15:10:38,0.443s,PASSED
click,Firefox 54.0,,2017-07-19 15:10:38,2017-07-19 15:10:38,0.313s,PASSED
closeBrowser,Firefox 54.0,,2017-07-19 15:10:38,2017-07-19 15:10:39,0.571s,PASSED
,,,,,,
Test Cases/MACTest2,Firefox 54.0,,2017-07-19 15:10:39,2017-07-19 15:10:53,14.169s,PASSED
openBrowser,Firefox 54.0,,2017-07-19 15:10:39,2017-07-19 15:10:52,13.498s,PASSED
closeBrowser,Firefox 54.0,,2017-07-19 15:10:52,2017-07-19 15:10:53,0.557s,PASSED
