Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuite1,Chrome 59.0.3071.115,,2017-07-20 14:59:01,2017-07-20 14:59:24,23.233s,PASSED
,,,,,,
Test Cases/Test1ByTRSN,Chrome 59.0.3071.115,,2017-07-20 14:59:01,2017-07-20 14:59:13,11.094s,PASSED
openBrowser,Chrome 59.0.3071.115,,2017-07-20 14:59:02,2017-07-20 14:59:05,3.179s,PASSED
navigateToUrl,Chrome 59.0.3071.115,,2017-07-20 14:59:05,2017-07-20 14:59:11,6.391s,PASSED
switchToWindowTitle,Chrome 59.0.3071.115,,2017-07-20 14:59:11,2017-07-20 14:59:11,0.023s,PASSED
click,Chrome 59.0.3071.115,,2017-07-20 14:59:11,2017-07-20 14:59:12,0.182s,PASSED
closeBrowser,Chrome 59.0.3071.115,,2017-07-20 14:59:12,2017-07-20 14:59:13,0.902s,PASSED
,,,,,,
Test Cases/MACTest2,Chrome 59.0.3071.115,,2017-07-20 14:59:13,2017-07-20 14:59:24,11.608s,PASSED
openBrowser,Chrome 59.0.3071.115,,2017-07-20 14:59:13,2017-07-20 14:59:21,7.963s,PASSED
closeBrowser,Chrome 59.0.3071.115,,2017-07-20 14:59:21,2017-07-20 14:59:21,0.768s,PASSED
openBrowser,Chrome 59.0.3071.115,,2017-07-20 14:59:22,2017-07-20 14:59:23,1.901s,PASSED
closeBrowser,Chrome 59.0.3071.115,,2017-07-20 14:59:23,2017-07-20 14:59:24,0.814s,PASSED
