Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuite1,Chrome 59.0.3071.115,,2017-07-20 13:03:13,2017-07-20 13:03:31,17.787s,PASSED
,,,,,,
Test Cases/Test1ByTRSN,Chrome 59.0.3071.115,,2017-07-20 13:03:13,2017-07-20 13:03:23,9.878s,PASSED
openBrowser,Chrome 59.0.3071.115,,2017-07-20 13:03:13,2017-07-20 13:03:16,2.485s,PASSED
navigateToUrl,Chrome 59.0.3071.115,,2017-07-20 13:03:16,2017-07-20 13:03:22,5.990s,PASSED
switchToWindowTitle,Chrome 59.0.3071.115,,2017-07-20 13:03:22,2017-07-20 13:03:22,0.033s,PASSED
click,Chrome 59.0.3071.115,,2017-07-20 13:03:22,2017-07-20 13:03:22,0.119s,PASSED
closeBrowser,Chrome 59.0.3071.115,,2017-07-20 13:03:22,2017-07-20 13:03:23,0.902s,PASSED
,,,,,,
Test Cases/MACTest2,Chrome 59.0.3071.115,,2017-07-20 13:03:23,2017-07-20 13:03:31,7.534s,PASSED
openBrowser,Chrome 59.0.3071.115,,2017-07-20 13:03:23,2017-07-20 13:03:27,3.749s,PASSED
closeBrowser,Chrome 59.0.3071.115,,2017-07-20 13:03:27,2017-07-20 13:03:28,0.862s,PASSED
openBrowser,Chrome 59.0.3071.115,,2017-07-20 13:03:28,2017-07-20 13:03:30,1.959s,PASSED
closeBrowser,Chrome 59.0.3071.115,,2017-07-20 13:03:30,2017-07-20 13:03:31,0.868s,PASSED
