Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuite1,Chrome 59.0.3071.115,,2017-07-20 12:08:19,2017-07-20 12:08:53,34.597s,PASSED
,,,,,,
Test Cases/Test1ByTRSN,Chrome 59.0.3071.115,,2017-07-20 12:08:19,2017-07-20 12:08:37,17.865s,PASSED
openBrowser,Chrome 59.0.3071.115,,2017-07-20 12:08:20,2017-07-20 12:08:23,3.881s,PASSED
navigateToUrl,Chrome 59.0.3071.115,,2017-07-20 12:08:23,2017-07-20 12:08:35,11.132s,PASSED
switchToWindowTitle,Chrome 59.0.3071.115,,2017-07-20 12:08:35,2017-07-20 12:08:35,0.149s,PASSED
click,Chrome 59.0.3071.115,,2017-07-20 12:08:35,2017-07-20 12:08:36,0.962s,PASSED
closeBrowser,Chrome 59.0.3071.115,,2017-07-20 12:08:36,2017-07-20 12:08:37,1.339s,PASSED
,,,,,,
Test Cases/MACTest2,Chrome 59.0.3071.115,,2017-07-20 12:08:37,2017-07-20 12:08:53,16.408s,PASSED
openBrowser,Chrome 59.0.3071.115,,2017-07-20 12:08:37,2017-07-20 12:08:50,12.585s,PASSED
closeBrowser,Chrome 59.0.3071.115,,2017-07-20 12:08:50,2017-07-20 12:08:51,0.875s,PASSED
openBrowser,Chrome 59.0.3071.115,,2017-07-20 12:08:51,2017-07-20 12:08:53,1.978s,PASSED
closeBrowser,Chrome 59.0.3071.115,,2017-07-20 12:08:53,2017-07-20 12:08:53,0.827s,PASSED
