Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuite1,Chrome 59.0.3071.115,,2017-07-20 11:03:15,2017-07-20 11:03:40,25.501s,PASSED
,,,,,,
Test Cases/Test1ByTRSN,Chrome 59.0.3071.115,,2017-07-20 11:03:15,2017-07-20 11:03:28,13.217s,PASSED
openBrowser,Chrome 59.0.3071.115,,2017-07-20 11:03:15,2017-07-20 11:03:18,3.248s,PASSED
navigateToUrl,Chrome 59.0.3071.115,,2017-07-20 11:03:18,2017-07-20 11:03:26,7.099s,PASSED
switchToWindowTitle,Chrome 59.0.3071.115,,2017-07-20 11:03:26,2017-07-20 11:03:26,0.201s,PASSED
click,Chrome 59.0.3071.115,,2017-07-20 11:03:26,2017-07-20 11:03:27,1.367s,PASSED
closeBrowser,Chrome 59.0.3071.115,,2017-07-20 11:03:27,2017-07-20 11:03:28,0.918s,PASSED
,,,,,,
Test Cases/MACTest2,Chrome 59.0.3071.115,,2017-07-20 11:03:28,2017-07-20 11:03:40,11.945s,PASSED
openBrowser,Chrome 59.0.3071.115,,2017-07-20 11:03:28,2017-07-20 11:03:36,8.245s,PASSED
closeBrowser,Chrome 59.0.3071.115,,2017-07-20 11:03:36,2017-07-20 11:03:37,0.784s,PASSED
openBrowser,Chrome 59.0.3071.115,,2017-07-20 11:03:37,2017-07-20 11:03:39,1.921s,PASSED
closeBrowser,Chrome 59.0.3071.115,,2017-07-20 11:03:39,2017-07-20 11:03:40,0.849s,PASSED
