Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuite1,Chrome 59.0.3071.115,,2017-07-19 18:23:49,2017-07-19 18:24:11,22.052s,PASSED
,,,,,,
Test Cases/Test1ByTRSN,Chrome 59.0.3071.115,,2017-07-19 18:23:50,2017-07-19 18:24:03,13.831s,PASSED
openBrowser,Chrome 59.0.3071.115,,2017-07-19 18:23:50,2017-07-19 18:23:54,3.686s,PASSED
navigateToUrl,Chrome 59.0.3071.115,,2017-07-19 18:23:54,2017-07-19 18:24:02,7.511s,PASSED
switchToWindowTitle,Chrome 59.0.3071.115,,2017-07-19 18:24:02,2017-07-19 18:24:02,0.059s,PASSED
click,Chrome 59.0.3071.115,,2017-07-19 18:24:02,2017-07-19 18:24:02,0.790s,PASSED
closeBrowser,Chrome 59.0.3071.115,,2017-07-19 18:24:02,2017-07-19 18:24:03,1.124s,PASSED
,,,,,,
Test Cases/MACTest2,Chrome 59.0.3071.115,,2017-07-19 18:24:04,2017-07-19 18:24:11,7.822s,PASSED
openBrowser,Chrome 59.0.3071.115,,2017-07-19 18:24:04,2017-07-19 18:24:11,6.909s,PASSED
closeBrowser,Chrome 59.0.3071.115,,2017-07-19 18:24:11,2017-07-19 18:24:11,0.763s,PASSED
