Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuite1,Firefox 54.0,,2017-07-19 14:01:34,2017-07-19 14:01:51,16.316s,PASSED
,,,,,,
Test Cases/Test1ByTRSN,Firefox 54.0,,2017-07-19 14:01:35,2017-07-19 14:01:51,16.083s,PASSED
openBrowser,Firefox 54.0,,2017-07-19 14:01:35,2017-07-19 14:01:42,6.990s,PASSED
navigateToUrl,Firefox 54.0,,2017-07-19 14:01:42,2017-07-19 14:01:47,4.474s,PASSED
switchToWindowTitle,Firefox 54.0,,2017-07-19 14:01:47,2017-07-19 14:01:47,0.609s,PASSED
click,Firefox 54.0,,2017-07-19 14:01:47,2017-07-19 14:01:50,3.053s,PASSED
closeBrowser,Firefox 54.0,,2017-07-19 14:01:50,2017-07-19 14:01:51,0.403s,PASSED
