Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuite1,Chrome 59.0.3071.115,,2017-07-19 17:46:07,2017-07-19 17:46:28,21.330s,PASSED
,,,,,,
Test Cases/Test1ByTRSN,Chrome 59.0.3071.115,,2017-07-19 17:46:07,2017-07-19 17:46:20,12.687s,PASSED
openBrowser,Chrome 59.0.3071.115,,2017-07-19 17:46:08,2017-07-19 17:46:12,4.782s,PASSED
navigateToUrl,Chrome 59.0.3071.115,,2017-07-19 17:46:12,2017-07-19 17:46:19,6.226s,PASSED
switchToWindowTitle,Chrome 59.0.3071.115,,2017-07-19 17:46:19,2017-07-19 17:46:19,0.029s,PASSED
click,Chrome 59.0.3071.115,,2017-07-19 17:46:19,2017-07-19 17:46:19,0.177s,PASSED
closeBrowser,Chrome 59.0.3071.115,,2017-07-19 17:46:19,2017-07-19 17:46:20,0.997s,PASSED
,,,,,,
Test Cases/MACTest2,Chrome 59.0.3071.115,,2017-07-19 17:46:20,2017-07-19 17:46:28,8.323s,PASSED
openBrowser,Chrome 59.0.3071.115,,2017-07-19 17:46:20,2017-07-19 17:46:27,7.418s,PASSED
closeBrowser,Chrome 59.0.3071.115,,2017-07-19 17:46:27,2017-07-19 17:46:28,0.758s,PASSED
