Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuite1,Chrome 59.0.3071.115,,2017-07-19 18:42:19,2017-07-19 18:42:36,17.836s,PASSED
,,,,,,
Test Cases/Test1ByTRSN,Chrome 59.0.3071.115,,2017-07-19 18:42:19,2017-07-19 18:42:29,10.124s,PASSED
openBrowser,Chrome 59.0.3071.115,,2017-07-19 18:42:19,2017-07-19 18:42:23,3.073s,PASSED
navigateToUrl,Chrome 59.0.3071.115,,2017-07-19 18:42:23,2017-07-19 18:42:28,5.217s,PASSED
switchToWindowTitle,Chrome 59.0.3071.115,,2017-07-19 18:42:28,2017-07-19 18:42:28,0.032s,PASSED
click,Chrome 59.0.3071.115,,2017-07-19 18:42:28,2017-07-19 18:42:28,0.177s,PASSED
closeBrowser,Chrome 59.0.3071.115,,2017-07-19 18:42:28,2017-07-19 18:42:29,1.053s,PASSED
,,,,,,
Test Cases/MACTest2,Chrome 59.0.3071.115,,2017-07-19 18:42:29,2017-07-19 18:42:36,7.352s,PASSED
openBrowser,Chrome 59.0.3071.115,,2017-07-19 18:42:29,2017-07-19 18:42:36,6.469s,PASSED
closeBrowser,Chrome 59.0.3071.115,,2017-07-19 18:42:36,2017-07-19 18:42:36,0.718s,PASSED
