Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuite1,Chrome 59.0.3071.115,,2017-07-19 18:48:17,2017-07-19 18:48:38,21.731s,PASSED
,,,,,,
Test Cases/Test1ByTRSN,Chrome 59.0.3071.115,,2017-07-19 18:48:17,2017-07-19 18:48:30,13.066s,PASSED
openBrowser,Chrome 59.0.3071.115,,2017-07-19 18:48:17,2017-07-19 18:48:20,2.469s,PASSED
navigateToUrl,Chrome 59.0.3071.115,,2017-07-19 18:48:20,2017-07-19 18:48:27,7.541s,PASSED
switchToWindowTitle,Chrome 59.0.3071.115,,2017-07-19 18:48:27,2017-07-19 18:48:27,0.155s,PASSED
click,Chrome 59.0.3071.115,,2017-07-19 18:48:27,2017-07-19 18:48:29,1.266s,PASSED
closeBrowser,Chrome 59.0.3071.115,,2017-07-19 18:48:29,2017-07-19 18:48:30,1.183s,PASSED
,,,,,,
Test Cases/MACTest2,Chrome 59.0.3071.115,,2017-07-19 18:48:30,2017-07-19 18:48:38,8.317s,PASSED
openBrowser,Chrome 59.0.3071.115,,2017-07-19 18:48:30,2017-07-19 18:48:38,7.416s,PASSED
closeBrowser,Chrome 59.0.3071.115,,2017-07-19 18:48:38,2017-07-19 18:48:38,0.781s,PASSED
