Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuite1,Chrome 59.0.3071.115,,2017-07-19 18:05:56,2017-07-19 18:06:20,23.574s,PASSED
,,,,,,
Test Cases/Test1ByTRSN,Chrome 59.0.3071.115,,2017-07-19 18:05:57,2017-07-19 18:06:12,14.909s,PASSED
openBrowser,Chrome 59.0.3071.115,,2017-07-19 18:05:58,2017-07-19 18:06:01,3.725s,PASSED
navigateToUrl,Chrome 59.0.3071.115,,2017-07-19 18:06:01,2017-07-19 18:06:11,9.284s,PASSED
switchToWindowTitle,Chrome 59.0.3071.115,,2017-07-19 18:06:11,2017-07-19 18:06:11,0.037s,PASSED
click,Chrome 59.0.3071.115,,2017-07-19 18:06:11,2017-07-19 18:06:11,0.166s,PASSED
closeBrowser,Chrome 59.0.3071.115,,2017-07-19 18:06:11,2017-07-19 18:06:12,1.023s,PASSED
,,,,,,
Test Cases/MACTest2,Chrome 59.0.3071.115,,2017-07-19 18:06:12,2017-07-19 18:06:20,8.083s,PASSED
openBrowser,Chrome 59.0.3071.115,,2017-07-19 18:06:12,2017-07-19 18:06:19,7.133s,PASSED
closeBrowser,Chrome 59.0.3071.115,,2017-07-19 18:06:19,2017-07-19 18:06:20,0.765s,PASSED
