Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuite1,Chrome 59.0.3071.115,,2017-07-20 11:58:52,2017-07-20 11:59:15,22.549s,PASSED
,,,,,,
Test Cases/Test1ByTRSN,Chrome 59.0.3071.115,,2017-07-20 11:58:52,2017-07-20 11:59:04,11.263s,PASSED
openBrowser,Chrome 59.0.3071.115,,2017-07-20 11:58:53,2017-07-20 11:58:55,2.478s,PASSED
navigateToUrl,Chrome 59.0.3071.115,,2017-07-20 11:58:55,2017-07-20 11:59:03,7.395s,PASSED
switchToWindowTitle,Chrome 59.0.3071.115,,2017-07-20 11:59:03,2017-07-20 11:59:03,0.032s,PASSED
click,Chrome 59.0.3071.115,,2017-07-20 11:59:03,2017-07-20 11:59:03,0.128s,PASSED
closeBrowser,Chrome 59.0.3071.115,,2017-07-20 11:59:03,2017-07-20 11:59:04,0.907s,PASSED
,,,,,,
Test Cases/MACTest2,Chrome 59.0.3071.115,,2017-07-20 11:59:04,2017-07-20 11:59:15,10.949s,PASSED
openBrowser,Chrome 59.0.3071.115,,2017-07-20 11:59:04,2017-07-20 11:59:11,7.330s,PASSED
closeBrowser,Chrome 59.0.3071.115,,2017-07-20 11:59:11,2017-07-20 11:59:12,0.819s,PASSED
openBrowser,Chrome 59.0.3071.115,,2017-07-20 11:59:12,2017-07-20 11:59:14,1.948s,PASSED
closeBrowser,Chrome 59.0.3071.115,,2017-07-20 11:59:14,2017-07-20 11:59:15,0.741s,PASSED
