Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuite1,Chrome 59.0.3071.115,,2017-07-19 18:33:26,2017-07-19 18:33:47,21.743s,PASSED
,,,,,,
Test Cases/Test1ByTRSN,Chrome 59.0.3071.115,,2017-07-19 18:33:26,2017-07-19 18:33:39,12.934s,PASSED
openBrowser,Chrome 59.0.3071.115,,2017-07-19 18:33:26,2017-07-19 18:33:29,2.936s,PASSED
navigateToUrl,Chrome 59.0.3071.115,,2017-07-19 18:33:29,2017-07-19 18:33:38,8.360s,PASSED
switchToWindowTitle,Chrome 59.0.3071.115,,2017-07-19 18:33:38,2017-07-19 18:33:38,0.034s,PASSED
click,Chrome 59.0.3071.115,,2017-07-19 18:33:38,2017-07-19 18:33:38,0.213s,PASSED
closeBrowser,Chrome 59.0.3071.115,,2017-07-19 18:33:38,2017-07-19 18:33:39,0.889s,PASSED
,,,,,,
Test Cases/MACTest2,Chrome 59.0.3071.115,,2017-07-19 18:33:39,2017-07-19 18:33:47,8.448s,PASSED
openBrowser,Chrome 59.0.3071.115,,2017-07-19 18:33:39,2017-07-19 18:33:47,7.606s,PASSED
closeBrowser,Chrome 59.0.3071.115,,2017-07-19 18:33:47,2017-07-19 18:33:47,0.728s,PASSED
