Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuite1,Chrome 59.0.3071.115,,2017-07-20 12:49:28,2017-07-20 12:49:50,21.940s,PASSED
,,,,,,
Test Cases/Test1ByTRSN,Chrome 59.0.3071.115,,2017-07-20 12:49:28,2017-07-20 12:49:38,10.631s,PASSED
openBrowser,Chrome 59.0.3071.115,,2017-07-20 12:49:28,2017-07-20 12:49:31,2.537s,PASSED
navigateToUrl,Chrome 59.0.3071.115,,2017-07-20 12:49:31,2017-07-20 12:49:37,6.672s,PASSED
switchToWindowTitle,Chrome 59.0.3071.115,,2017-07-20 12:49:37,2017-07-20 12:49:37,0.051s,PASSED
click,Chrome 59.0.3071.115,,2017-07-20 12:49:37,2017-07-20 12:49:38,0.153s,PASSED
closeBrowser,Chrome 59.0.3071.115,,2017-07-20 12:49:38,2017-07-20 12:49:38,0.900s,PASSED
,,,,,,
Test Cases/MACTest2,Chrome 59.0.3071.115,,2017-07-20 12:49:39,2017-07-20 12:49:50,11.021s,PASSED
openBrowser,Chrome 59.0.3071.115,,2017-07-20 12:49:39,2017-07-20 12:49:46,7.004s,PASSED
closeBrowser,Chrome 59.0.3071.115,,2017-07-20 12:49:46,2017-07-20 12:49:46,0.815s,PASSED
openBrowser,Chrome 59.0.3071.115,,2017-07-20 12:49:46,2017-07-20 12:49:49,2.218s,PASSED
closeBrowser,Chrome 59.0.3071.115,,2017-07-20 12:49:49,2017-07-20 12:49:50,0.874s,PASSED
