Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuite1,Chrome 59.0.3071.115,,2017-07-20 10:32:04,2017-07-20 10:32:32,27.777s,PASSED
,,,,,,
Test Cases/Test1ByTRSN,Chrome 59.0.3071.115,,2017-07-20 10:32:04,2017-07-20 10:32:23,18.806s,PASSED
openBrowser,Chrome 59.0.3071.115,,2017-07-20 10:32:04,2017-07-20 10:32:10,5.563s,PASSED
navigateToUrl,Chrome 59.0.3071.115,,2017-07-20 10:32:10,2017-07-20 10:32:21,10.732s,PASSED
switchToWindowTitle,Chrome 59.0.3071.115,,2017-07-20 10:32:21,2017-07-20 10:32:21,0.027s,PASSED
click,Chrome 59.0.3071.115,,2017-07-20 10:32:21,2017-07-20 10:32:22,0.864s,PASSED
closeBrowser,Chrome 59.0.3071.115,,2017-07-20 10:32:22,2017-07-20 10:32:23,1.274s,PASSED
,,,,,,
Test Cases/MACTest2,Chrome 59.0.3071.115,,2017-07-20 10:32:23,2017-07-20 10:32:32,8.576s,PASSED
openBrowser,Chrome 59.0.3071.115,,2017-07-20 10:32:23,2017-07-20 10:32:31,7.673s,PASSED
closeBrowser,Chrome 59.0.3071.115,,2017-07-20 10:32:31,2017-07-20 10:32:32,0.804s,PASSED
