Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuite1,Chrome 59.0.3071.115,,2017-07-20 11:49:36,2017-07-20 11:50:00,23.695s,PASSED
,,,,,,
Test Cases/Test1ByTRSN,Chrome 59.0.3071.115,,2017-07-20 11:49:37,2017-07-20 11:49:49,12.228s,PASSED
openBrowser,Chrome 59.0.3071.115,,2017-07-20 11:49:37,2017-07-20 11:49:40,3.095s,PASSED
navigateToUrl,Chrome 59.0.3071.115,,2017-07-20 11:49:40,2017-07-20 11:49:47,6.463s,PASSED
switchToWindowTitle,Chrome 59.0.3071.115,,2017-07-20 11:49:47,2017-07-20 11:49:47,0.254s,PASSED
click,Chrome 59.0.3071.115,,2017-07-20 11:49:47,2017-07-20 11:49:48,1.103s,PASSED
closeBrowser,Chrome 59.0.3071.115,,2017-07-20 11:49:48,2017-07-20 11:49:49,0.962s,PASSED
,,,,,,
Test Cases/MACTest2,Chrome 59.0.3071.115,,2017-07-20 11:49:49,2017-07-20 11:50:00,11.110s,PASSED
openBrowser,Chrome 59.0.3071.115,,2017-07-20 11:49:49,2017-07-20 11:49:56,7.297s,PASSED
closeBrowser,Chrome 59.0.3071.115,,2017-07-20 11:49:56,2017-07-20 11:49:57,0.762s,PASSED
openBrowser,Chrome 59.0.3071.115,,2017-07-20 11:49:57,2017-07-20 11:49:59,1.946s,PASSED
closeBrowser,Chrome 59.0.3071.115,,2017-07-20 11:49:59,2017-07-20 11:50:00,0.975s,PASSED
