Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuite1,Chrome 59.0.3071.115,,2017-07-20 12:55:16,2017-07-20 12:55:39,22.910s,PASSED
,,,,,,
Test Cases/Test1ByTRSN,Chrome 59.0.3071.115,,2017-07-20 12:55:16,2017-07-20 12:55:28,11.947s,PASSED
openBrowser,Chrome 59.0.3071.115,,2017-07-20 12:55:17,2017-07-20 12:55:19,2.613s,PASSED
navigateToUrl,Chrome 59.0.3071.115,,2017-07-20 12:55:19,2017-07-20 12:55:27,7.783s,PASSED
switchToWindowTitle,Chrome 59.0.3071.115,,2017-07-20 12:55:27,2017-07-20 12:55:27,0.022s,PASSED
click,Chrome 59.0.3071.115,,2017-07-20 12:55:27,2017-07-20 12:55:27,0.188s,PASSED
closeBrowser,Chrome 59.0.3071.115,,2017-07-20 12:55:27,2017-07-20 12:55:28,0.827s,PASSED
,,,,,,
Test Cases/MACTest2,Chrome 59.0.3071.115,,2017-07-20 12:55:28,2017-07-20 12:55:39,10.587s,PASSED
openBrowser,Chrome 59.0.3071.115,,2017-07-20 12:55:28,2017-07-20 12:55:35,7.013s,PASSED
closeBrowser,Chrome 59.0.3071.115,,2017-07-20 12:55:35,2017-07-20 12:55:36,0.716s,PASSED
openBrowser,Chrome 59.0.3071.115,,2017-07-20 12:55:36,2017-07-20 12:55:38,1.925s,PASSED
closeBrowser,Chrome 59.0.3071.115,,2017-07-20 12:55:38,2017-07-20 12:55:39,0.776s,PASSED
