Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuite1,Chrome 59.0.3071.115,,2017-07-20 10:56:52,2017-07-20 10:57:14,22.519s,PASSED
,,,,,,
Test Cases/Test1ByTRSN,Chrome 59.0.3071.115,,2017-07-20 10:56:52,2017-07-20 10:57:07,14.583s,PASSED
openBrowser,Chrome 59.0.3071.115,,2017-07-20 10:56:53,2017-07-20 10:56:58,5.242s,PASSED
navigateToUrl,Chrome 59.0.3071.115,,2017-07-20 10:56:58,2017-07-20 10:57:06,7.665s,PASSED
switchToWindowTitle,Chrome 59.0.3071.115,,2017-07-20 10:57:06,2017-07-20 10:57:06,0.051s,PASSED
click,Chrome 59.0.3071.115,,2017-07-20 10:57:06,2017-07-20 10:57:06,0.148s,PASSED
closeBrowser,Chrome 59.0.3071.115,,2017-07-20 10:57:06,2017-07-20 10:57:07,1.138s,PASSED
,,,,,,
Test Cases/MACTest2,Chrome 59.0.3071.115,,2017-07-20 10:57:07,2017-07-20 10:57:14,7.575s,PASSED
openBrowser,Chrome 59.0.3071.115,,2017-07-20 10:57:07,2017-07-20 10:57:14,6.699s,PASSED
closeBrowser,Chrome 59.0.3071.115,,2017-07-20 10:57:14,2017-07-20 10:57:14,0.720s,PASSED
