Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuite1,Chrome 59.0.3071.115,,2017-07-19 18:32:24,2017-07-19 18:32:44,20.039s,PASSED
,,,,,,
Test Cases/Test1ByTRSN,Chrome 59.0.3071.115,,2017-07-19 18:32:25,2017-07-19 18:32:36,11.489s,PASSED
openBrowser,Chrome 59.0.3071.115,,2017-07-19 18:32:25,2017-07-19 18:32:28,2.716s,PASSED
navigateToUrl,Chrome 59.0.3071.115,,2017-07-19 18:32:28,2017-07-19 18:32:35,6.793s,PASSED
switchToWindowTitle,Chrome 59.0.3071.115,,2017-07-19 18:32:35,2017-07-19 18:32:35,0.063s,PASSED
click,Chrome 59.0.3071.115,,2017-07-19 18:32:35,2017-07-19 18:32:35,0.233s,PASSED
closeBrowser,Chrome 59.0.3071.115,,2017-07-19 18:32:35,2017-07-19 18:32:36,1.103s,PASSED
,,,,,,
Test Cases/MACTest2,Chrome 59.0.3071.115,,2017-07-19 18:32:36,2017-07-19 18:32:44,8.082s,PASSED
openBrowser,Chrome 59.0.3071.115,,2017-07-19 18:32:36,2017-07-19 18:32:43,7.083s,PASSED
closeBrowser,Chrome 59.0.3071.115,,2017-07-19 18:32:43,2017-07-19 18:32:44,0.859s,PASSED
