Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuite1,Chrome 59.0.3071.115,,2017-07-20 12:35:40,2017-07-20 12:36:08,28.168s,PASSED
,,,,,,
Test Cases/Test1ByTRSN,Chrome 59.0.3071.115,,2017-07-20 12:35:40,2017-07-20 12:35:55,15.214s,PASSED
openBrowser,Chrome 59.0.3071.115,,2017-07-20 12:35:41,2017-07-20 12:35:45,3.853s,PASSED
navigateToUrl,Chrome 59.0.3071.115,,2017-07-20 12:35:45,2017-07-20 12:35:54,9.403s,PASSED
switchToWindowTitle,Chrome 59.0.3071.115,,2017-07-20 12:35:54,2017-07-20 12:35:54,0.025s,PASSED
click,Chrome 59.0.3071.115,,2017-07-20 12:35:54,2017-07-20 12:35:54,0.142s,PASSED
closeBrowser,Chrome 59.0.3071.115,,2017-07-20 12:35:54,2017-07-20 12:35:55,1.402s,PASSED
,,,,,,
Test Cases/MACTest2,Chrome 59.0.3071.115,,2017-07-20 12:35:56,2017-07-20 12:36:08,12.333s,PASSED
openBrowser,Chrome 59.0.3071.115,,2017-07-20 12:35:56,2017-07-20 12:36:04,7.849s,PASSED
closeBrowser,Chrome 59.0.3071.115,,2017-07-20 12:36:04,2017-07-20 12:36:05,1.121s,PASSED
openBrowser,Chrome 59.0.3071.115,,2017-07-20 12:36:05,2017-07-20 12:36:07,2.212s,PASSED
closeBrowser,Chrome 59.0.3071.115,,2017-07-20 12:36:07,2017-07-20 12:36:08,0.821s,PASSED
