Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuite1,Firefox 54.0,,2017-07-19 15:02:49,2017-07-19 15:03:19,29.795s,PASSED
,,,,,,
Test Cases/Test1ByTRSN,Firefox 54.0,,2017-07-19 15:02:49,2017-07-19 15:03:05,15.610s,PASSED
openBrowser,Firefox 54.0,,2017-07-19 15:02:50,2017-07-19 15:02:58,7.854s,PASSED
navigateToUrl,Firefox 54.0,,2017-07-19 15:02:58,2017-07-19 15:03:04,5.945s,PASSED
switchToWindowTitle,Firefox 54.0,,2017-07-19 15:03:04,2017-07-19 15:03:04,0.643s,PASSED
click,Firefox 54.0,,2017-07-19 15:03:04,2017-07-19 15:03:05,0.275s,PASSED
closeBrowser,Firefox 54.0,,2017-07-19 15:03:05,2017-07-19 15:03:05,0.494s,PASSED
,,,,,,
Test Cases/MACTest2,Firefox 54.0,,2017-07-19 15:03:05,2017-07-19 15:03:19,13.564s,PASSED
openBrowser,Firefox 54.0,,2017-07-19 15:03:05,2017-07-19 15:03:18,13.279s,PASSED
closeBrowser,Firefox 54.0,,2017-07-19 15:03:18,2017-07-19 15:03:19,0.183s,PASSED
