Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuite1,Firefox 54.0,,2017-07-19 15:01:09,2017-07-19 15:01:53,43.825s,FAILED
,,,,,,
Test Cases/Test1ByTRSN,Firefox 54.0,,2017-07-19 15:01:10,2017-07-19 15:01:26,16.171s,PASSED
openBrowser,Firefox 54.0,,2017-07-19 15:01:10,2017-07-19 15:01:18,7.766s,PASSED
navigateToUrl,Firefox 54.0,,2017-07-19 15:01:18,2017-07-19 15:01:24,6.223s,PASSED
switchToWindowTitle,Firefox 54.0,,2017-07-19 15:01:24,2017-07-19 15:01:25,0.610s,PASSED
click,Firefox 54.0,,2017-07-19 15:01:25,2017-07-19 15:01:25,0.472s,PASSED
closeBrowser,Firefox 54.0,,2017-07-19 15:01:25,2017-07-19 15:01:26,0.751s,PASSED
,,,,,,
Test Cases/MACTest2,Firefox 54.0,,2017-07-19 15:01:26,2017-07-19 15:01:52,26.088s,FAILED
openBrowser,Firefox 54.0,,2017-07-19 15:01:26,2017-07-19 15:01:52,25.895s,FAILED
