Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuite1,Chrome 59.0.3071.115,,2017-07-19 17:50:04,2017-07-19 17:50:27,22.717s,PASSED
,,,,,,
Test Cases/Test1ByTRSN,Chrome 59.0.3071.115,,2017-07-19 17:50:05,2017-07-19 17:50:17,12.292s,PASSED
openBrowser,Chrome 59.0.3071.115,,2017-07-19 17:50:05,2017-07-19 17:50:08,2.719s,PASSED
navigateToUrl,Chrome 59.0.3071.115,,2017-07-19 17:50:08,2017-07-19 17:50:16,7.914s,PASSED
switchToWindowTitle,Chrome 59.0.3071.115,,2017-07-19 17:50:16,2017-07-19 17:50:16,0.049s,PASSED
click,Chrome 59.0.3071.115,,2017-07-19 17:50:16,2017-07-19 17:50:16,0.152s,PASSED
closeBrowser,Chrome 59.0.3071.115,,2017-07-19 17:50:16,2017-07-19 17:50:17,1.091s,PASSED
,,,,,,
Test Cases/MACTest2,Chrome 59.0.3071.115,,2017-07-19 17:50:17,2017-07-19 17:50:27,10.014s,PASSED
openBrowser,Chrome 59.0.3071.115,,2017-07-19 17:50:17,2017-07-19 17:50:26,9.103s,PASSED
closeBrowser,Chrome 59.0.3071.115,,2017-07-19 17:50:26,2017-07-19 17:50:27,0.792s,PASSED
