Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuite1,Firefox 54.0,,2017-07-19 15:07:27,2017-07-19 15:07:56,29.249s,PASSED
,,,,,,
Test Cases/Test1ByTRSN,Firefox 54.0,,2017-07-19 15:07:27,2017-07-19 15:07:42,14.845s,PASSED
openBrowser,Firefox 54.0,,2017-07-19 15:07:28,2017-07-19 15:07:35,7.036s,PASSED
navigateToUrl,Firefox 54.0,,2017-07-19 15:07:35,2017-07-19 15:07:41,6.195s,PASSED
switchToWindowTitle,Firefox 54.0,,2017-07-19 15:07:41,2017-07-19 15:07:41,0.457s,PASSED
click,Firefox 54.0,,2017-07-19 15:07:41,2017-07-19 15:07:42,0.412s,PASSED
closeBrowser,Firefox 54.0,,2017-07-19 15:07:42,2017-07-19 15:07:42,0.384s,PASSED
,,,,,,
Test Cases/MACTest2,Firefox 54.0,,2017-07-19 15:07:42,2017-07-19 15:07:56,14.105s,PASSED
openBrowser,Firefox 54.0,,2017-07-19 15:07:42,2017-07-19 15:07:56,13.721s,PASSED
closeBrowser,Firefox 54.0,,2017-07-19 15:07:56,2017-07-19 15:07:56,0.274s,PASSED
